step,loss,status
194,2625.90673828125,cooldown
195,2378.055419921875,cooldown
196,2400.228759765625,warning
197,2150.165771484375,reverted
198,2414.9130859375,cooldown
199,2374.029541015625,cooldown
200,2706.4345703125,cooldown
201,2441.693359375,cooldown
202,2550.31982421875,cooldown
203,2477.669189453125,warning
204,2419.192138671875,reverted
205,2366.073974609375,cooldown
206,0.6091905832290649,cooldown
207,1.1130671501159668,cooldown
208,0.1060563325881958,cooldown
209,0.40421080589294434,cooldown
210,0.5754337906837463,safe
211,0.021771909669041634,safe
212,4.750819206237793,warning
213,0.012206329964101315,safe
214,0.410319447517395,safe
215,0.00032665932667441666,safe
216,0.20198169350624084,safe
217,1.7513163089752197,warning
218,2.8020389436278492e-05,safe
219,1.4127165079116821,warning
220,0.32023218274116516,safe
221,2.100597858428955,warning
